time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-26 00:00:00+00:00,812,274,88,28
2025-09-27 00:00:00+00:00,172,77,27,14
2025-09-28 00:00:00+00:00,227,83,49,21
2025-09-29 00:00:00+00:00,732,399,103,37
2025-09-30 00:00:00+00:00,375,218,85,43
2025-10-01 00:00:00+00:00,517,247,90,44
2025-10-02 00:00:00+00:00,391,201,88,40
2025-10-03 00:00:00+00:00,451,219,81,28
2025-10-04 00:00:00+00:00,1399,192,308,27
2025-10-05 00:00:00+00:00,108,53,21,10
2025-10-06 00:00:00+00:00,439,227,89,46
2025-10-07 00:00:00+00:00,986,316,148,49
2025-10-08 00:00:00+00:00,400,226,68,31
2025-10-09 00:00:00+00:00,1750,336,286,40
