time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-16 00:00:00+00:00,422,148,23,18
2026-06-17 00:00:00+00:00,700,143,61,26
2026-06-18 00:00:00+00:00,725,143,16,8
2026-06-19 00:00:00+00:00,443,132,52,17
2026-06-20 00:00:00+00:00,239,107,21,9
2026-06-21 00:00:00+00:00,188,93,7,6
2026-06-22 00:00:00+00:00,256,120,36,22
2026-06-23 00:00:00+00:00,527,145,32,14
2026-06-24 00:00:00+00:00,450,175,81,27
2026-06-25 00:00:00+00:00,322,125,46,30
2026-06-26 00:00:00+00:00,342,146,43,20
2026-06-27 00:00:00+00:00,272,135,16,13
2026-06-28 00:00:00+00:00,359,124,20,10
2026-06-29 00:00:00+00:00,337,144,56,38
