time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-08-16 00:00:00+00:00,2091,88,822,76
2022-08-17 00:00:00+00:00,1807,85,670,69
2022-08-18 00:00:00+00:00,1709,83,585,67
2022-08-19 00:00:00+00:00,507,66,665,60
2022-08-20 00:00:00+00:00,130,49,55,18
2022-08-21 00:00:00+00:00,74,36,226,24
2022-08-22 00:00:00+00:00,430,97,488,63
2022-08-23 00:00:00+00:00,426,72,542,71
2022-08-24 00:00:00+00:00,393,71,541,81
2022-08-25 00:00:00+00:00,380,72,594,72
2022-08-26 00:00:00+00:00,361,69,366,65
2022-08-27 00:00:00+00:00,92,46,53,25
2022-08-28 00:00:00+00:00,176,57,59,11
2022-08-29 00:00:00+00:00,259,77,303,65
