time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-10-28 00:00:00+00:00,358,84,381,74
2022-10-29 00:00:00+00:00,244,70,108,24
2022-10-30 00:00:00+00:00,267,77,314,25
2022-10-31 00:00:00+00:00,332,88,439,60
2022-11-01 00:00:00+00:00,295,78,383,79
2022-11-02 00:00:00+00:00,292,67,365,77
2022-11-03 00:00:00+00:00,181,48,438,83
2022-11-04 00:00:00+00:00,351,81,395,61
2022-11-05 00:00:00+00:00,182,48,92,23
2022-11-06 00:00:00+00:00,149,38,71,25
2022-11-07 00:00:00+00:00,308,56,410,86
2022-11-08 00:00:00+00:00,477,56,436,75
2022-11-09 00:00:00+00:00,446,65,655,84
2022-11-10 00:00:00+00:00,625,66,674,86
