time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-10-22 00:00:00+00:00,182,57,62,18
2022-10-23 00:00:00+00:00,167,40,87,27
2022-10-24 00:00:00+00:00,501,87,590,91
2022-10-25 00:00:00+00:00,407,93,332,64
2022-10-26 00:00:00+00:00,431,99,490,77
2022-10-27 00:00:00+00:00,549,100,534,81
2022-10-28 00:00:00+00:00,358,84,381,74
2022-10-29 00:00:00+00:00,244,70,108,24
2022-10-30 00:00:00+00:00,267,77,314,25
2022-10-31 00:00:00+00:00,332,88,439,60
2022-11-01 00:00:00+00:00,295,78,383,79
2022-11-02 00:00:00+00:00,292,67,365,77
2022-11-03 00:00:00+00:00,181,48,438,83
2022-11-04 00:00:00+00:00,327,76,395,61
