time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-21 00:00:00+00:00,499,143,29,11
2026-05-22 00:00:00+00:00,345,158,19,13
2026-05-23 00:00:00+00:00,338,124,8,5
2026-05-24 00:00:00+00:00,235,110,18,9
2026-05-25 00:00:00+00:00,2810,307,97,12
2026-05-26 00:00:00+00:00,22722,419,16,10
2026-05-27 00:00:00+00:00,21562,782,32,25
2026-05-28 00:00:00+00:00,9810,546,41,20
2026-05-29 00:00:00+00:00,360,134,35,20
2026-05-30 00:00:00+00:00,1860,156,18,12
2026-05-31 00:00:00+00:00,1556,146,20,13
2026-06-01 00:00:00+00:00,339,144,51,17
2026-06-02 00:00:00+00:00,303,140,15,10
2026-06-03 00:00:00+00:00,772,187,15,14
