time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-24 00:00:00+00:00,371,38,194,51
2024-10-25 00:00:00+00:00,284,30,111,47
2024-10-26 00:00:00+00:00,244,15,48,18
2024-10-27 00:00:00+00:00,267,10,64,22
2024-10-28 00:00:00+00:00,307,34,176,47
2024-10-29 00:00:00+00:00,328,24,118,52
2024-10-30 00:00:00+00:00,286,27,113,51
2024-10-31 00:00:00+00:00,240,19,104,38
2024-11-01 00:00:00+00:00,287,18,70,33
2024-11-02 00:00:00+00:00,267,11,63,16
2024-11-03 00:00:00+00:00,251,14,48,18
2024-11-04 00:00:00+00:00,296,38,145,47
2024-11-05 00:00:00+00:00,307,24,230,67
2024-11-06 00:00:00+00:00,477,32,117,46
