time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-26 00:00:00+00:00,412,150,216,46
2026-01-27 00:00:00+00:00,427,133,132,47
2026-01-28 00:00:00+00:00,832,94,121,41
2026-01-29 00:00:00+00:00,835,108,89,47
2026-01-30 00:00:00+00:00,905,113,55,24
2026-01-31 00:00:00+00:00,682,71,15,11
2026-02-01 00:00:00+00:00,877,77,33,10
2026-02-02 00:00:00+00:00,908,98,60,25
2026-02-03 00:00:00+00:00,945,126,70,31
2026-02-04 00:00:00+00:00,848,123,94,32
2026-02-05 00:00:00+00:00,979,117,78,30
2026-02-06 00:00:00+00:00,763,106,26,24
2026-02-07 00:00:00+00:00,176,72,32,21
2026-02-08 00:00:00+00:00,167,85,32,16
