url_path,views_total,views_unique
/weaveworks/weave-gitops,636,393
/weaveworks/weave-gitops/pulls,167,15
/weaveworks/weave-gitops/blob/main/doc/img/01-workloads.png,66,57
/weaveworks/weave-gitops/releases,57,38
/weaveworks/weave-gitops/blob/main/charts/gitops-server/values.yaml,53,29
/weaveworks/weave-gitops/actions,51,2
/weaveworks/weave-gitops/tree/main/charts/gitops-server,43,24
/weaveworks/weave-gitops/blob/main/doc/img/02-workload-detail.png,39,34
/weaveworks/weave-gitops/issues,38,23
/weaveworks/weave-gitops/network/updates,33,1
